fewsparameter;Var.2;1000-EAG-1;1000-EAG-2;1000-EAG-3;1000-EAG-4;1010-EAG-1;1060-EAG-1;2000-EAG-1;2000-EAG-2;2000-EAG-3;2000-EAG-4;2000-EAG-5;2000-EAG-6;2000-EAG-7;2010-EAG-1;2010-EAG-2;2020-EAG-1;2030-EAG-1;2040-EAG-1;2100-EAG-1;2110-EAG-1;2110-EAG-2;2110-EAG-3;2110-EAG-4;2110-EAG-5;2120-EAG-1;2120-EAG-2;2120-EAG-3;2130-EAG-1;2140-EAG-1;2140-EAG-3;2140-EAG-4;2140-EAG-6;2150-EAG-3;2160-EAG-1;2200-EAG-1;2210-EAG-1;2220-EAG-1;2220-EAG-2;2220-EAG-3;2230-EAG-1;2230-EAG-2;2240-EAG-1;2250-EAG-1;2250-EAG-2;2250-EAG-3;2250-EAG-4;2250-EAG-5;2250-EAG-7;2270-EAG-1;2280-EAG-1;2290-EAG-1;2300-EAG-1;2310-EAG-1;2330-EAG-1;2340-EAG-1;2350-EAG-1;2380-EAG-1;2400-EAG-1;2400-EAG-2;2400-EAG-3;2400-EAG-4;2400-EAG-5;2410-EAG-1;2500-EAG-1;2500-EAG-2;2500-EAG-3;2500-EAG-4;2500-EAG-5;2500-EAG-6;2501-EAG-1;2501-EAG-2;2502-EAG-1;2503-EAG-1;2504-EAG-1;2505-EAG-1;2506-EAG-1;2510-EAG-1;2510-EAG-2;2510-EAG-3;2511-EAG-1;2512-EAG-1;2520-EAG-1;2520-EAG-4;2530-EAG-1;2530-EAG-2;2540-EAG-1;2540-EAG-2;2540-EAG-3;2540-EAG-4;2550-EAG-1;2550-EAG-2;2550-EAG-4;2550-EAG-5;2560-EAG-1;2560-EAG-2;2570-EAG-1;2570-EAG-2;2600-EAG-1;2600-EAG-2;2600-EAG-4;2600-EAG-6;2600-EAG-9;2610-EAG-1;2620-EAG-1;2630-EAG-1;2630-EAG-3;3000-EAG-1;3020-EAG-1;3040-EAG-1;3050-EAG-1;3070-EAG-1;3070-EAG-2;3100-EAG-1;3100-EAG-10;3100-EAG-2;3100-EAG-3;3100-EAG-4;3100-EAG-5;3100-EAG-9;3110-EAG-1;3110-EAG-2;3110-EAG-3;3110-EAG-4;3110-EAG-5;3200-EAG-1;3200-EAG-2;3201-EAG-1;3201-EAG-2;3201-EAG-3;3210-EAG-1;3210-EAG-2;3210-EAG-3;3220-EAG-2;3220-EAG-3;3230-EAG-1;3230-EAG-2;3230-EAG-3;3230-EAG-4;3230-EAG-5;3230-EAG-6;3240-EAG-1;3250-EAG-1;3260-EAG-1;3300-EAG-1;3300-EAG-10;3300-EAG-11;3300-EAG-12;3300-EAG-3;3300-EAG-4;3300-EAG-5;3300-EAG-6;3300-EAG-7;3300-EAG-8;3300-EAG-9;3301-EAG-1;3302-EAG-1;3302-EAG-2;3310-EAG-2;3311-EAG-1;3311-EAG-2;3311-EAG-3;3311-EAG-7;3320-EAG-1;3320-EAG-2;3320-EAG-3;3320-EAG-4;3340-EAG-1;3340-EAG-2;3340-EAG-3;3350-EAG-1;3360-EAG-1;3360-EAG-10;3360-EAG-11;3360-EAG-12;3360-EAG-13;3360-EAG-14;3360-EAG-15;3360-EAG-16;3360-EAG-17;3360-EAG-18;3360-EAG-2;3360-EAG-3;3360-EAG-4;3360-EAG-5;3360-EAG-9;3370-EAG-1;3370-EAG-2;3370-EAG-3;3370-EAG-4;3370-EAG-5;4000-EAG-1;4000-EAG-2;4000-EAG-3;4000-EAG-4;4000-EAG-6;4000-EAG-7;4000-EAG-8;4100-EAG-1;4110-EAG-1;4110-EAG-2;4120-EAG-1;4120-EAG-2;4130-EAG-1;4140-EAG-1;4140-EAG-2;4140-EAG-3;4140-EAG-4;4200-EAG-2;4200-EAG-3;4210-EAG-1;4210-EAG-2;4210-EAG-3;4210-EAG-4;4210-EAG-5;4230-EAG-1;4240-EAG-1;4250-EAG-1;5000-EAG-1;6000-EAG-1;6040-EAG-1;6050-EAG-1;6060-EAG-1;6080-EAG-1;6100-EAG-1;6100-EAG-2;6110-EAG-1;6400-EAG-1;6400-EAG-2;6420-EAG-1;6430-EAG-1;6440-EAG-1;6450-EAG-1;6460-EAG-1;6460-EAG-2;6480-EAG-1;6480-EAG-2;6490-EAG-1;6500-EAG-1;6510-EAG-1;6530-EAG-1;6530-EAG-2;6540-EAG-1;6540-EAG-2;6540-EAG-3;6550-EAG-1;6570-EAG-1;7000-EAG-1;7010-EAG-1;7010-EAG-2;7020-EAG-1;7040-EAG-1;7050-EAG-1;7060-EAG-1;7100-EAG-1;7100-EAG-2;8000-EAG-1;8010-EAG-1;8010-EAG-2;8020-EAG-1;8030-EAG-1;8030-EAG-2;8030-EAG-3;8030-EAG-5;8040-EAG-1;8050-EAG-2;8050-EAG-3;8060-EAG-1;8070-EAG-1;8070-EAG-2;8080-EAG-2;8090-EAG-1;8090-EAG-2;9010-EAG-1;9020-EAG-1;9030-EAG-1;9040-EAG-1
ALDCB;2.88416666666667;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALDCBSFN;3.06083333333333;0.0125;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALDCBSOX;3.2275;0.0125;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AMTN;3.38416666666667;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANT;;0.001;;;;;;;;;;;0.00366666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00483333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AS;;4.175;;;;;;;7;;3.1;4.5;3.25;;;;;;;;;;;;7.6;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.4;;;;;;;;;;3;;3.7;;;;;;;;;2.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;;;;;;;;;;;;;;;;;;;;;0.5;;2.4;;;;;;;;2.3;;;;;;;;;;;;;;;;;;;1.6;;;;;;;;;1.6;;;;;;;;;;9.7;;;;;;;;;;;
AS-1;1.8;3.05;;;;;;;3.5;;2.3;2.9;2.01111111111111;;;;;;;;;;;;;;;;2.2;;;;;2.5;;;;;;;;;47;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;0.6;;;;;;;;;;4.5;;2.6;;;;;2.8;;;;1.43333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.5;;;;;;;;1.6;;;;;;;;;;;;;;;;;;;1.3;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;
ATR;7.23333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AZOXSBN;3.55083333333333;0.0025;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B-1;;152.5;;;;;;;;;;;249.333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.3238333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAA;;0.00466666666666667;;;;;;;;;;;0.00791666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00777083333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAP;;0.00445833333333333;;;;;;;;;;;0.00666666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00545833333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBF;;0.009;;;;;;;;;;;0.01525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BENTZN;1.035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BFNX;3.89416666666667;0.0125;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGHIPE;;0.005;;;;;;;;;;;0.00841666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BKF;;0.00391666666666667;;;;;;;;;;;0.0065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOSCLD;;;;;;;;;;;;;0.0115625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BTT;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1oxfnzde;4.2175;0.0025;;;;;;;;;;;0.008125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
